,_id,address,area,buildTime,code,label,money,orientation,position,priceUnit,room,size,title,zone
0,5a2228f2b4f701301cc8c62d,芳草路352弄,北蔡,1994,sh4646719,"距离7号线芳华路站757米,满五,有钥匙,",405,,高区/6层,57422,2室1厅,70.53,厨卫全明，卧室全南，地铁直达，高区景观房,浦东
1,5a2228f2b4f701301cc8c62e,虹一小区,虹桥,1978,sh4642058,"距离10号线宋园路站151米,满五,有钥匙,",345,朝南北,高区/6层,67913,2室1厅,50.8,南北直通，交通便利，高区采光好，省装修费,长宁
2,5a2228f2b4f701301cc8c62f,好世凤凰城,颛桥,2004,sh4636185,"距离5号线银都路站235米,满五,有钥匙,",545,朝南北,中区/4层,57733,2室2厅,94.4,稀罕南北通，带飘窗，交通便利，好楼层,闵行
3,5a2228f2b4f701301cc8c630,博三小区,金桥,1994,sh4577110,"距离6号线博兴路站239米,满二,有钥匙,",345,朝南,高区/6层,53721,2室1厅,64.22,厨卫全明，客厅朝南，交通便利，高区采光好,浦东
4,5a2228f2b4f701301cc8c631,昌五小区,世博,1994,sh4606474,"距离6号线东明路站866米,满五,有钥匙,",305,朝南北,高区/6层,55830,2室1厅,54.63,南北通，卧室带阳台，地铁沿线，高区景观好,浦东
5,5a2228f2b4f701301cc8c632,云台路86号,世博,1993,sh4601407,"距离7号线云台路站66米,满五,有钥匙,",452,朝南,高区/16层,60026,2室1厅,75.3,客厅朝南，卧室全南，出行方便，高区景观房,浦东
6,5a2228f2b4f701301cc8c633,明珠苑（浦东）,洋泾,1998,sh4555053,"距离6号线北洋泾路站496米,满五,有钥匙,",620,朝南,高区/6层,81471,2室2厅,76.1,客厅朝南，客厅带阳台，地铁直达，高区采光好,浦东
7,5a2228f2b4f701301cc8c634,康馨家园,康健,2002,sh4575808,"距离1号线上海南站站562米,满二,有钥匙,",1150,朝南北,高区/18层,87419,3室2厅,131.55,稀缺南北通，客厅朝南，地铁房，高区阳光房,徐汇
8,5a2228f2b4f701301cc8c635,嘉亭菁苑,安亭,2011,sh4574538,"距离11号线安亭站419米,满二,有钥匙,",420,朝南,中区/28层,41849,2室2厅,100.36,出行方便，好楼层，品质装修，满2年,嘉定
9,5a2228f2b4f701301cc8c636,米兰诺贵都,泗泾,2013,sh4574133,"距离9号线佘山站417米,满二,有钥匙,",390,,低区/19层,43869,2室2厅,88.9,卧室带阳台，客厅朝南，交通便利，上下楼方便,松江
10,5a2228f2b4f701301cc8c637,桃浦一村瑞香苑,桃浦,1983,sh4523650,"距离11号线桃浦新村站218米,满五,有钥匙,",246,朝南,中区/5层,40493,2室1厅,60.75,卧室带阳台，卧室全南，地铁房，楼层好,普陀
11,5a2228f2b4f701301cc8c638,金谊河畔,三林,2008,sh4478934,"距离11号线三林站414米,满五,有钥匙,",700,朝南北,低区/17层,64904,2室2厅,107.85,南北通透，客厅带阳台，交通方便，上下楼方便,浦东
12,5a2228f2b4f701301cc8c639,兆丰嘉园,中山公园,2004,sh4573877,"距离2号线中山公园站324米,满二,有钥匙,",1520,朝南北,高区/33层,92087,3室2厅,165.06,稀罕南北通，卧室带阳台，出行方便，采光好,长宁
13,5a2228f2b4f701301cc8c63a,平江盛世家园,甘泉宜川,1996,sh4573865,"距离3号线中潭路站670米,满二,有钥匙,",400,朝南,中区/7层,59781,2室1厅,66.91,地铁沿线，好楼层，中等装修，满二年,普陀
14,5a2228f2b4f701301cc8c63b,天山华庭,天山,2009,sh4573246,"距离2号线威宁路站223米,满二,有钥匙,",860,朝南北,高区/20层,95544,2室2厅,90.01,南北通，厨卫全明，地铁房，高区采光好,长宁
15,5a2228f2b4f701301cc8c63c,桃浦二村永汇新苑,桃浦,2005,sh4354825,"距离11号线桃浦新村站539米,满五,有钥匙,",350,,中区/6层,49060,2室1厅,71.34,出行方便，楼层好，满5年，新出好房,普陀
16,5a2228f2b4f701301cc8c63d,淞虹公寓,北新泾,2000,sh4708294,"距离2号线淞虹路站542米,满五,",595,朝东南,中区/12层,63841,2室2厅,93.2,厨卫全明，卧室带阳台，交通便利，黄金楼层,长宁
17,5a2228f2b4f701301cc8c63e,东兰小区,古美,1989,sh4601181,"距离12号线虹梅路站479米,满五,有钥匙,",238,朝南,低区/6层,68587,1室0厅,34.7,厨卫全明，卧室带阳台，交通方便，低区出入方便,闵行
18,5a2228f2b4f701301cc8c63f,共康五村,共康,1997,sh4571937,"距离1号线共康路站820米,满二,有钥匙,",320,朝南,中区/6层,52321,2室1厅,61.16,厨卫全明，卧室带阳台，地铁沿线，楼层好,宝山
19,5a2228f2b4f701301cc8c640,南洋博仕欣居,老闵行,2005,sh4571880,"距离5号线东川路站509米,满二,有钥匙,",488,朝南北,中区/14层,50174,2室2厅,97.26,稀罕南北通，客厅带阳台，地铁房，好楼层,闵行
20,5a2228f2b4f701301cc8c641,金鹿大楼,淮海中路,1992,sh4570328,"距离1号线黄陂南路站417米,满二,有钥匙,",499,,中区/29层,89619,1室1厅,55.68,交通方便，黄金楼层，房本满两年，钥匙在手,黄浦
21,5a2228f2b4f701301cc8c642,呼玛二村,张庙,1992,sh4570146,"距离1号线呼兰路站952米,满二,有钥匙,",235,朝南,高区/6层,44073,2室1厅,53.32,交通便利，采光无遮挡，简单装修，满二减税,宝山
22,5a2228f2b4f701301cc8c643,开鲁四村,中原,1989,sh4580625,"距离8号线市光路站438米,满五,有钥匙,",210,朝南,高区/6层,50602,1室1厅,41.5,厨卫全明，卧室全南，地铁房，高区阳光房,杨浦
23,5a2228f2b4f701301cc8c644,民主敦发小区,张庙,1997,sh4843089,"距离1号线共康路站316米,满五,有钥匙,",270,朝南北,高区/6层,43845,1室1厅,61.58,南北直通，卧室全南，交通便利，光线非常好,宝山
